Country,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Mongolia,4.955,1.027,1.493,0.558,0.394,0.338,0.033,1.111
Montenegro,5.237,1.121,1.238,0.667,0.195,0.198,0.088,1.729
Morocco,5.235,0.878,0.775,0.598,0.408,0.032,0.088,2.456
Mozambique,4.550,0.234,0.871,0.107,0.481,0.322,0.179,2.356
Myanmar,4.545,0.367,1.123,0.398,0.514,0.838,0.189,1.115
Namibia,4.574,0.964,1.098,0.339,0.520,0.077,0.093,1.482
Nepal,4.962,0.480,1.179,0.504,0.440,0.394,0.073,1.891
Netherlands,7.377,1.504,1.429,0.811,0.585,0.470,0.283,2.295
New Zealand,7.314,1.406,1.548,0.817,0.614,0.500,0.383,2.046
Nicaragua,6.071,0.737,1.287,0.653,0.448,0.302,0.131,2.514
Niger,4.028,0.162,0.993,0.269,0.364,0.229,0.139,1.874
Nigeria,5.074,0.784,1.216,0.057,0.395,0.231,0.026,2.365
Norway,7.537,1.616,1.534,0.797,0.635,0.362,0.316,2.277
Pakistan,5.269,0.727,0.673,0.402,0.235,0.315,0.124,2.792
Palestinian Territories,4.775,0.716,1.156,0.566,0.255,0.114,0.089,1.879
Panama,6.452,1.234,1.373,0.706,0.550,0.211,0.071,2.307
Paraguay,5.493,0.933,1.507,0.579,0.474,0.224,0.091,1.685
Peru,5.715,1.035,1.219,0.630,0.450,0.127,0.047,2.207
Philippines,5.430,0.858,1.254,0.468,0.585,0.194,0.099,1.973
Poland,5.973,1.292,1.446,0.699,0.520,0.158,0.059,1.798
Portugal,5.195,1.315,1.367,0.796,0.498,0.095,0.016,1.108
Qatar,6.375,1.871,1.274,0.710,0.604,0.330,0.439,1.145
Romania,5.825,1.218,1.150,0.685,0.457,0.134,0.004,2.177
Russia,5.963,1.282,1.469,0.547,0.374,0.052,0.033,2.206
Rwanda,3.471,0.369,0.946,0.326,0.582,0.253,0.455,0.540
Saudi Arabia,6.344,1.531,1.287,0.590,0.450,0.148,0.273,2.065
Senegal,4.535,0.479,1.180,0.409,0.378,0.183,0.115,1.790
Serbia,5.395,1.069,1.258,0.651,0.209,0.220,0.041,1.947
Sierra Leone,4.709,0.368,0.984,0.006,0.319,0.293,0.071,2.668
Singapore,6.572,1.692,1.354,0.949,0.550,0.346,0.464,1.216
Slovakia,6.098,1.325,1.505,0.713,0.296,0.137,0.024,2.098
Slovenia,5.758,1.341,1.453,0.791,0.573,0.243,0.045,1.313
Somalia,5.151,0.023,0.721,0.114,0.602,0.292,0.282,3.117
South Africa,4.829,1.055,1.385,0.187,0.479,0.139,0.073,1.511
South Korea,5.838,1.402,1.128,0.900,0.258,0.207,0.063,1.880
South Sudan,3.591,0.397,0.601,0.163,0.147,0.286,0.117,1.880
Spain,6.403,1.384,1.532,0.889,0.409,0.190,0.071,1.928
Sri Lanka,4.440,1.010,1.260,0.625,0.561,0.491,0.074,0.419
Sweden,7.284,1.494,1.478,0.831,0.613,0.385,0.384,2.098
Switzerland,7.494,1.565,1.517,0.858,0.620,0.291,0.367,2.277
Syria,3.462,0.777,0.396,0.501,0.082,0.494,0.151,1.062
Tajikistan,5.041,0.525,1.271,0.529,0.472,0.249,0.146,1.849
Tanzania,3.349,0.511,1.042,0.365,0.390,0.354,0.066,0.621
Thailand,6.424,1.128,1.426,0.647,0.580,0.572,0.032,2.040
Togo,3.495,0.305,0.432,0.247,0.380,0.197,0.096,1.837
Trinidad & Tobago,6.168,1.361,1.380,0.520,0.519,0.325,0.009,2.053
Tunisia,4.805,1.007,0.868,0.613,0.290,0.050,0.087,1.890
Turkey,5.500,1.198,1.338,0.638,0.301,0.047,0.100,1.879
Turkmenistan,5.822,1.131,1.493,0.438,0.418,0.250,0.259,1.833
Uganda,4.081,0.381,1.130,0.218,0.443,0.326,0.057,1.526
Ukraine,4.096,0.895,1.395,0.576,0.123,0.270,0.023,0.814
United Arab Emirates,6.648,1.626,1.266,0.727,0.608,0.361,0.324,1.735
United Kingdom,6.714,1.442,1.496,0.805,0.508,0.493,0.265,1.704
United States,6.993,1.546,1.420,0.774,0.506,0.393,0.136,2.218
Uruguay,6.454,1.218,1.412,0.719,0.579,0.175,0.178,2.172
Uzbekistan,5.971,0.786,1.549,0.498,0.658,0.416,0.247,1.817
Venezuela,5.250,1.128,1.431,0.617,0.154,0.065,0.064,1.789
Vietnam,5.074,0.789,1.277,0.652,0.571,0.235,0.088,1.462
Yemen,3.593,0.592,0.935,0.310,0.249,0.104,0.057,1.346
Zambia,4.514,0.636,1.003,0.258,0.462,0.250,0.078,1.827
Zimbabwe,3.875,0.376,1.083,0.197,0.336,0.189,0.095,1.598
