Country,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,HDI Value
Libya,5.539,1.044,1.337,0.582,0.459,0.134,0.131,1.852,0.746
Lithuania,6.001,1.25,1.505,0.721,0.292,0.026,0.02,2.187,0.879
Luxembourg,6.954,1.642,1.486,0.918,0.585,0.224,0.319,1.781,0.927
Macedonia,5.211,1.002,1.247,0.725,0.355,0.204,0.049,1.629,0.765
Madagascar,3.784,0.281,0.912,0.444,0.186,0.178,0.052,1.731,0.487
Malawi,3.656,0.203,0.538,0.372,0.48,0.238,0.081,1.742,0.508
Malaysia,5.915,1.224,1.238,0.705,0.422,0.329,0.05,1.946,0.807
Mali,4.342,0.41,1.206,0.21,0.334,0.158,0.071,1.953,0.41
Malta,6.627,1.304,1.511,0.902,0.599,0.442,0.149,1.719,0.915
Mauritania,4.379,0.592,1.228,0.355,0.097,0.147,0.106,1.854,0.54
Mauritius,5.803,1.133,1.333,0.707,0.524,0.274,0.051,1.781,0.796
Mexico,6.554,1.087,1.262,0.777,0.442,0.088,0.1,2.798,0.781
Moldova,5.669,0.69,1.294,0.649,0.239,0.187,0.003,2.606,0.763
Mongolia,5.122,0.963,1.514,0.6,0.369,0.275,0.034,1.366,0.741
Montenegro,5.369,1.063,1.293,0.756,0.217,0.15,0.083,1.807,0.844
Morocco,5.232,0.819,0.785,0.683,0.429,0.031,0.079,2.406,0.698
Mozambique,4.478,0.212,0.92,0.223,0.502,0.242,0.158,2.221,0.461
Myanmar,4.404,0.586,1.159,0.461,0.54,0.667,0.18,0.811,0.608
Namibia,4.551,0.906,1.231,0.394,0.48,0.066,0.071,1.404,0.61
Nepal,4.918,0.45,1.211,0.573,0.468,0.327,0.08,1.808,0.601
Netherlands,7.435,1.42,1.48,0.896,0.593,0.375,0.292,2.379,0.946
New Zealand,7.315,1.326,1.569,0.906,0.623,0.398,0.384,2.11,0.939
Nicaragua,6.106,0.7,1.31,0.729,0.47,0.237,0.129,2.531,0.669
Niger,4.274,0.144,0.878,0.285,0.357,0.197,0.113,2.3,0.394
Nigeria,5.165,0.723,1.166,0.117,0.428,0.216,0.033,2.482,0.548
Norway,7.562,1.52,1.566,0.895,0.641,0.306,0.332,2.3,0.966
Pakistan,5.465,0.685,0.79,0.454,0.294,0.25,0.112,2.88,0.54
Palestinian Territories,4.738,0.672,1.207,0.613,0.249,0.101,0.077,1.82,0.716
Panama,6.401,1.165,1.418,0.792,0.554,0.148,0.063,2.261,0.82
Paraguay,5.639,0.874,1.501,0.657,0.51,0.19,0.082,1.825,0.731
Peru,5.692,0.976,1.247,0.719,0.478,0.101,0.036,2.134,0.762
Philippines,5.528,0.813,1.286,0.546,0.595,0.144,0.104,2.04,0.71
Poland,6.093,1.225,1.444,0.788,0.516,0.128,0.058,1.934,0.881
Portugal,5.433,1.241,1.409,0.893,0.523,0.066,0.019,1.282,0.874
Qatar,6.374,1.735,1.297,0.776,0.604,0.269,0.259,1.434,0.875
Romania,5.947,1.165,1.2,0.745,0.482,0.102,0.003,2.249,0.827
Russia,5.807,1.205,1.467,0.624,0.369,0.066,0.03,2.045,0.821
Rwanda,3.404,0.353,0.851,0.447,0.591,0.223,0.437,0.502,0.548
Saudi Arabia,6.363,1.438,1.325,0.673,0.466,0.109,0.177,2.176,0.875
Senegal,4.616,0.453,1.144,0.471,0.359,0.158,0.09,1.942,0.517
Serbia,5.465,1.016,1.337,0.73,0.26,0.164,0.041,1.919,0.805
Sierra Leone,4.551,0.297,0.879,0.083,0.328,0.261,0.056,2.646,0.458
Singapore,6.392,1.598,1.423,1.033,0.579,0.293,0.458,1.009,0.949
Slovakia,6.156,1.26,1.515,0.79,0.328,0.125,0.017,2.12,0.855
Slovenia,5.941,1.273,1.494,0.867,0.59,0.182,0.051,1.484,0.926
Somalia,4.934,0.008,0.71,0.166,0.612,0.258,0.278,2.902,0.38
South Africa,4.758,0.985,1.382,0.329,0.461,0.124,0.061,1.416,0.717
South Korea,5.869,1.323,1.184,0.964,0.22,0.186,0.057,1.936,0.929
South Sudan,3.233,0.347,0.595,0.212,0.09,0.237,0.105,1.648,0.381
Spain,6.356,1.307,1.518,0.972,0.407,0.162,0.075,1.916,0.911
Sri Lanka,4.426,0.959,1.28,0.709,0.539,0.347,0.057,0.534,0.78
Sweden,7.314,1.412,1.489,0.918,0.615,0.312,0.38,2.187,0.952
Switzerland,7.487,1.479,1.531,0.946,0.617,0.27,0.356,2.29,0.967
Syria,3.462,0.695,0.385,0.493,0.061,0.4,0.145,1.282,0.557
Tajikistan,5.287,0.497,1.183,0.615,0.455,0.231,0.142,2.165,0.679
Tanzania,3.294,0.481,0.973,0.415,0.429,0.3,0.103,0.593,0.532
Thailand,6.168,1.065,1.417,0.727,0.591,0.432,0.03,1.906,0.803
Togo,3.86,0.28,0.493,0.303,0.369,0.177,0.094,2.143,0.547
Trinidad & Tobago,6.184,1.272,1.45,0.599,0.528,0.227,0.015,2.094,0.814
Tunisia,4.619,0.943,0.925,0.706,0.243,0.05,0.068,1.685,0.732
Turkey,5.452,1.176,1.359,0.711,0.273,0.079,0.105,1.748,0.855
Turkmenistan,5.568,1.066,1.521,0.537,0.41,0.231,0.108,1.695,0.744
Uganda,4.144,0.345,1.096,0.299,0.416,0.279,0.059,1.648,0.55
Ukraine,4.177,0.836,1.399,0.641,0.155,0.215,0.015,0.916,0.734
United Arab Emirates,6.749,1.532,1.291,0.776,0.625,0.302,0.231,1.992,0.937
United Kingdom,6.861,1.359,1.531,0.895,0.497,0.398,0.272,1.909,0.94
United States,6.924,1.459,1.449,0.822,0.502,0.321,0.132,2.237,0.927
Uruguay,6.375,1.145,1.445,0.794,0.576,0.144,0.161,2.111,0.83
Uzbekistan,6.08,0.75,1.554,0.62,0.671,0.355,0.249,1.882,0.727
Venezuela,4.921,1.028,1.442,0.693,0.147,0.062,0.054,1.494,0.699
Vietnam,5.117,0.748,1.329,0.735,0.577,0.186,0.08,1.461,0.726
Yemen,3.443,0.44,1.057,0.372,0.212,0.098,0.066,1.197,0.424
Zambia,4.333,0.592,1.036,0.326,0.465,0.239,0.082,1.591,0.569
Zimbabwe,3.743,0.366,1.097,0.293,0.368,0.157,0.094,1.368,0.55
